env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
IL10x20_RxHeavy,0,"[-0.026398307560050873, -0.29268051402486217, 0.0017913870005024804, 0.056535369933597986, 6.2972341338999245, 2.0406431992436826, -0.38966991105852944]","[-0.026398, -0.292681, 0.622594, 0.001791, 0.056535]",6.2972341338999245,2.0406431992436826,0.13857384054845143,0.40769002809194305,-0.38966991105852944,0.17268509924602443,0.0,0.0,,-6.217208069084364,0.0,-6.922633608229476,1.1949958354395127e-07,23.037093874070944
IL10x20_RxHeavy,1,"[-0.018941421662374863, -0.2868511735655083, 0.0031805877664420725, 0.054931074527541535, 6.587818844363442, 2.025102091019558, -0.37511991105852943]","[-0.018941, -0.286851, 0.636096, 0.003181, 0.054931]",6.587818844363442,2.025102091019558,0.14329507150757118,0.42158008681250714,-0.37511991105852943,0.18501875839934154,0.0,0.0,,-6.451220358497864,0.0,-6.922633608229476,1.1949958354395127e-07,22.183329462620517
IL10x20_RxHeavy,2,"[-0.01165627028339651, -0.28121927272089453, 0.004344079656412654, 0.05338710889198451, 6.596767749510921, 1.7429739818268344, -0.36100641105852943]","[-0.011656, -0.281219, 0.649393, 0.004344, 0.053387]",6.596767749510921,1.7429739818268344,0.14802830065466682,0.4355054447033446,-0.36100641105852943,0.18796878372614775,0.0,0.0,,-6.6719449730613025,0.0,-6.922633608229476,1.1949958354395127e-07,21.16133595492034
IL10x20_RxHeavy,3,"[-0.0045661902312382026, -0.27574905867932675, 0.005262825303502391, 0.05188356969320211, 6.54314182922682, 1.4744749294685564, -0.3473163160585294]","[-0.004566, -0.275749, 0.662538, 0.005263, 0.051884]",6.54314182922682,1.4744749294685564,0.15276886376428256,0.44945237941830707,-0.3473163160585294,0.19017661010049242,0.0,0.0,,-6.882790111551291,0.0,-6.922633608229476,1.1949958354395127e-07,20.194761961789272
IL10x20_RxHeavy,4,"[0.0018765632568900617, -0.2699457561111926, 0.006055943892576008, 0.05028422431420048, 6.492545001272695, 1.213751199535178, -0.3340369239085294]","[0.001877, -0.269946, 0.671838, 0.006056, 0.050284]",6.492545001272695,1.213751199535178,0.15751221569096474,0.46340751894958737,-0.3340369239085294,0.19153086227142227,0.0,0.0,,-7.068631825398629,0.0,-6.922633608229476,1.1949958354395127e-07,17.614066858468366
IL10x20_RxHeavy,5,"[0.007428402663367938, -0.2636683197993092, 0.006746157152782951, 0.04854155656048081, 6.448857318006826, 0.959862330635014, -0.3211559135230294]","[0.007428, -0.263668, 0.673616, 0.006746, 0.048542]",6.448857318006826,0.959862330635014,0.16225393982064468,0.47735786943408265,-0.3211559135230294,0.19110805369252049,0.0,0.0,,-7.217904726631532,0.0,-6.922633608229476,1.1949958354395127e-07,15.175527424924942
IL10x20_RxHeavy,6,"[0.011999068399097094, -0.25698550362956507, 0.007313298775562616, 0.04666763840514628, 6.414388835230276, 0.7123593282599477, -0.3086613334490944]","[0.011999, -0.256986, 0.677034, 0.007313, 0.046668]",6.414388835230276,0.7123593282599477,0.16698975638417443,0.4912908396121637,-0.3086613334490944,0.19126937550316647,0.0,0.0,,-7.36654203998409,0.0,-6.922633608229476,1.1949958354395127e-07,13.562912504218389
IL10x20_RxHeavy,7,"[0.01605150700905354, -0.25027386311019895, 0.007750944752519721, 0.044764032196853466, 6.385496866745277, 0.47169250643251653, -0.29654159077737746]","[0.016052, -0.250274, 0.68116, 0.007751, 0.044764]",6.385496866745277,0.47169250643251653,0.17171552966610176,0.5051942620361923,-0.29654159077737746,0.19175102517673615,0.0,0.0,,-7.513009851956373,0.0,-6.922633608229476,1.1949958354395127e-07,12.764557029406232
IL10x20_RxHeavy,8,"[0.020033334306088734, -0.24379341864533385, 0.008080722922815788, 0.04290244614752631, 6.360137815693062, 0.23794104153577436, -0.28478544038581205]","[0.020033, -0.243793, 0.68519, 0.008081, 0.042902]",6.360137815693062,0.23794104153577436,0.17642727414720813,0.5190564111421245,-0.28478544038581205,0.1923296325583631,0.0,0.0,,-7.65724425288529,0.0,-6.922633608229476,1.1949958354395127e-07,12.45350329801708
IL10x20_RxHeavy,9,"[0.02393497803279065, -0.23753377662011074, 0.008336899104097514, 0.041079383349815764, 6.337180474602962, 0.011030102797804947, -0.27338197450599355]","[0.023935, -0.237534, 0.689115, 0.008337, 0.041079]",6.337180474602962,0.011030102797804947,0.18112115962387346,0.5328660183108958,-0.27338197450599355,0.19298566332107545,0.0,0.0,,-7.799389769799557,0.0,-6.922633608229476,1.1949958354395127e-07,12.145257317944004
