env,step,x,taps,gdc,gdc2,gain,gain_ratio,u_gain,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
HighNoise_IL10x10,0,"[-0.02640754681206925, -0.29264472271880354, 0.0016428458644529068, 0.056471032359309205, 6.041882129128337, 1.7029379067270995, -0.292759898050473]","[-0.026408, -0.292645, 0.622834, 0.001643, 0.056471]",6.041882129128337,1.7029379067270995,0.17321730068556432,0.5096125351149289,-0.292759898050473,0.2037942083082371,0.0,0.0,,-6.339501727161389,0.0,-6.356318058082491,4.4023233871315545e-07,25.09702138113455
HighNoise_IL10x10,1,"[-0.018999020796213066, -0.2867455509974811, 0.0028659224090255876, 0.054765864027194126, 6.038107540752961, 1.411962388027336, -0.27820989805047297]","[-0.018999, -0.286746, 0.636624, 0.002866, 0.054766]",6.038107540752961,1.411962388027336,0.179118839384464,0.526975108515634,-0.27820989805047297,0.2069821999773045,0.0,0.0,,-6.583476449391833,0.0,-6.8222980609731705,1.5055734202974469e-07,23.829972466194665
HighNoise_IL10x10,2,"[-0.011791688046116156, -0.28101044244216655, 0.003788370478528851, 0.053080261746937044, 6.0145225195033625, 1.1306794349842195, -0.26409639805047297]","[-0.011792, -0.28101, 0.650329, 0.003788, 0.05308]",6.0145225195033625,1.1306794349842195,0.18503537581833354,0.5443818058791808,-0.26409639805047297,0.21000864260741386,0.0,0.0,,-6.814410592277146,0.0,-6.721954729085176,1.8969036443949757e-07,22.5624452346982
HighNoise_IL10x10,3,"[-0.0047941931395727826, -0.2754395252301627, 0.004494189759820039, 0.05140725066360379, 5.982499943489241, 0.8587565873435149, -0.26409639805047297]","[-0.004794, -0.27544, 0.663865, 0.004494, 0.051407]",5.982499943489241,0.8587565873435149,0.18503537581833354,0.5443818058791808,-0.26409639805047297,0.20641190153113387,0.0,0.0,,-7.03025438929987,0.0,-6.721954729085176,1.8969036443949757e-07,21.27321548090213
HighNoise_IL10x10,4,"[0.001625512799766483, -0.26963368137866695, 0.0050950671057636695, 0.049648604825646966, 5.958971552854921, 0.594212985675375, -0.25081700590047296]","[0.001626, -0.269634, 0.673997, 0.005095, 0.049649]",5.958971552854921,0.594212985675375,0.19078057732579842,0.561284428731387,-0.25081700590047296,0.2086123562748709,0.0,0.0,,-7.22690183964253,0.0,-6.922641392861164,1.194974415597765e-07,18.672467971274358
HighNoise_IL10x10,5,"[0.007279723035352881, -0.2634807228008958, 0.0056029834907276215, 0.04773668406698552, 5.932610171969753, 0.337945061388369, -0.23793599551497296]","[0.00728, -0.263481, 0.6759, 0.005603, 0.047737]",5.932610171969753,0.337945061388369,0.19652380722712157,0.5781812510359564,-0.23793599551497296,0.2085518352297568,0.0,0.0,,-7.388332180593826,0.0,-6.922641392861164,1.194974415597765e-07,16.22247949554217
HighNoise_IL10x10,6,"[0.012111018591734142, -0.2570249310223119, 0.0060187386367719685, 0.045689070940308364, 5.907841954665619, 0.08928395083594548, -0.22544141544103796]","[0.012111, -0.257025, 0.679156, 0.006019, 0.045689]",5.907841954665619,0.08928395083594548,0.20225988181750085,0.5950570221168016,-0.22544141544103796,0.20896422122020367,0.0,0.0,,-7.5487771131004,0.0,-6.922641392861164,1.194974415597765e-07,14.61696676085738
HighNoise_IL10x10,7,"[0.01650711290698511, -0.2505826156121158, 0.006334137906696353, 0.043602188582924424, 5.884528966057788, 0.0, -0.213321672769321]","[0.016507, -0.250583, 0.682974, 0.006334, 0.043602]",5.884528966057788,0.0,0.20798379187159988,0.6118970046237125,-0.213321672769321,0.21310800610594596,0.0,0.0,,-7.6756552603455495,0.0,-6.922641392861164,1.194974415597765e-07,13.776218911820045
HighNoise_IL10x10,8,"[0.02097383144195716, -0.2444730579259603, 0.006577015060512354, 0.0415802819472713, 5.859622991900769, 0.0, -0.22507782316088645]","[0.020974, -0.244473, 0.686396, 0.006577, 0.04158]",5.859622991900769,0.0,0.2024292851308058,0.5955554137417058,-0.22507782316088645,0.2076308096110037,0.0,0.0,,-7.775454187642132,0.0,-6.922641392861164,1.194974415597765e-07,13.245829070422689
HighNoise_IL10x10,9,"[0.025287032950059053, -0.23851299380335123, 0.006788096442592414, 0.03967647016315533, 5.843415252308628, 0.0, -0.21367435728106798]","[0.025287, -0.238513, 0.689735, 0.006788, 0.039676]",5.843415252308628,0.0,0.20781495968775904,0.6114002932855518,-0.21367435728106798,0.21353245517307148,0.0,0.0,,-7.870216914280837,0.0,-6.922641392861164,1.194974415597765e-07,12.537725332953844
HighNoise_IL10x10,10,"[0.029759824087011798, -0.23294215312981828, 0.006977159632988013, 0.037858899521331424, 5.823570727018787, 0.0, -0.2247357191844919]","[0.02976, -0.232942, 0.692462, 0.006977, 0.037859]",5.823570727018787,0.0,0.20258880626011494,0.5960247315684465,-0.2247357191844919,0.20835574737809529,0.0,0.0,,-7.9537551695626245,0.0,-6.922641392861164,1.194974415597765e-07,11.875376993469665
HighNoise_IL10x10,11,"[0.034072191873581556, -0.22749912148256693, 0.007149867551405478, 0.03615224423649235, 5.8106997971119485, 0.0, -0.21400619813817068]","[0.034072, -0.227499, 0.695127, 0.00715, 0.036152]",5.8106997971119485,0.0,0.20765623062840743,0.6109333057617166,-0.21400619813817068,0.21389284447793944,0.0,0.0,,-8.033527643828952,0.0,-6.922641392861164,1.194974415597765e-07,11.222506394798684
HighNoise_IL10x10,12,"[0.03854760249585417, -0.2224524417992257, 0.007324962313768304, 0.03453583217542448, 5.794447204842245, 0.0, -0.22441383355310224]","[0.038548, -0.222452, 0.697139, 0.007325, 0.034536]",5.794447204842245,0.0,0.2027390144724689,0.5964666504044392,-0.22441383355310224,0.20895726089303096,0.0,0.0,,-8.103176363185627,0.0,-6.922641392861164,1.194974415597765e-07,10.537015175138574
HighNoise_IL10x10,13,"[0.04285539512634058, -0.21751045947635103, 0.007489918535436918, 0.033022865147453145, 5.783832476580256, 0.0, -0.2143184272006186]","[0.042855, -0.21751, 0.699121, 0.00749, 0.033023]",5.783832476580256,0.0,0.20750699315942697,0.6104942428932832,-0.2143184272006186,0.21411166900854342,0.0,0.0,,-8.169139325520959,0.0,-6.922641392861164,1.194974415597765e-07,9.937990780534953
HighNoise_IL10x10,14,"[0.047331184719823075, -0.21297786029878107, 0.007676177027275965, 0.031605938719777356, 5.77019561773269, 0.0, -0.22411097136252772]","[0.047331, -0.212978, 0.700409, 0.007676, 0.031606]",5.77019561773269,0.0,0.20288044707039826,0.5968827510161762,-0.22411097136252772,0.20937232401322547,0.0,0.0,,-8.226994964697939,0.0,-6.922641392861164,1.194974415597765e-07,9.246387613206414
