sample_id,ctle_dc,ctle_dc2,mlse_ber,log10_ber,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
0,3.6971797159183106,1.263874035155261,0.23599106885623738,-0.6271044327072169,0.28836781318543325,-0.05713166353192564,-0.052757579375973425,0.20379078959128216,1.0,-0.06752825320436631,0.11220731329450895,-0.17902834191059708,0.12156418070841692,0.018568637834237137,0.12177835032655292,0.2580104619454524,0.15184611345713492,0.09229134633511744,0.03256570371037664,0.048802253554145796
1,1.5054309220700186,0.9609208390021948,0.22751908671852492,-0.6429821642427904,-0.18041123940726975,-0.24627802949665456,0.12790684046397582,-0.12894682848398123,1.0,0.09376697574035175,0.05903182838346459,0.1759336245638953,-0.006019145176831253,-0.018759294062080135,0.03524191460281986,0.17782636521787162,0.11500720278582069,0.08133231413664187,0.07051426831296072,0.04357167940775044
2,0.6096142762698311,0.09579237761689385,0.21477960242005187,-0.6680069658823986,-0.0365274263220256,0.013993642209561074,0.05700879059268149,-0.15146793633639666,1.0,0.24336648495087787,-0.2676583916123556,0.07575998369888186,-0.21721314112973616,-0.00035908011615040804,0.05898881536478006,0.172833261217267,0.09262008540954476,0.018313474094002323,0.004640333967316047,-0.01897804138499175
3,4.919432726627373,4.548325465013294,0.19476555747623164,-0.7104878417107315,0.06217657135322765,0.09930974708026975,0.09020225239255852,-0.01631113791181048,1.0,-0.2938408667433827,-0.0051568414077252985,-0.29163897645160064,-0.13784271147786778,0.05501524407714741,0.11760468074566438,0.28658075500774977,0.13649008341704844,0.058220954426646244,-0.03294290197887969,-0.04256894649269664
4,0.7382937612400626,0.34215061879097675,0.26995102276001154,-0.5687150227836337,-0.2752311455756617,-0.26964980345881734,-0.28581007953060067,-0.13809370999241458,1.0,0.10055032205958145,0.034558570692750964,0.10848375648629094,-0.2559864984311791,-0.07498927341347207,0.013050453651645874,0.11723399318413937,0.06687686447738024,0.04134670598642861,0.01489141311500731,-0.016949300138321733
5,2.217150507504681,0.35971367481616007,0.20403882166522616,-0.6902871932067582,-0.20495997246074252,-0.0918022086809253,0.09936392268674933,-0.1657994552569776,1.0,-0.1658115496135879,0.1665657812906934,0.07936232526733852,0.06072937764121413,-0.012111151238074162,0.033815192846938916,0.16922523478888973,0.07877209074678508,0.07161570725339385,0.05558958360039236,0.04514766260031574
6,1.34492295541358,0.1389082065269191,0.2454173869201959,-0.6100946723506192,-0.16520052088853715,-0.16664132886184294,0.07963042916805559,-0.06532949965722479,1.0,0.16930958450399985,-0.2962660738201974,-0.23236776214822363,-0.17859118502941876,-0.011091390153389726,0.04112882785594268,0.15888369677005437,0.08902661838206988,-0.006016947533098765,-0.04400154028077354,-0.041752617878306475
7,3.053607419619147,0.890540254477234,0.2779818496110631,-0.5559835597333466,0.29153562459815413,-0.030722558593117386,-0.26185602092198046,0.12772981815424034,1.0,0.2582825091774933,-0.07838441516760658,0.14631192187266995,0.06790142504558191,-0.024385696029373165,0.09072109609917282,0.22337160739525908,0.1545115160484965,0.08400078317424077,0.07664310737149779,0.05952628204174907
8,0.322096820552416,3.7062473880622413,0.25222378277153557,-0.5982139651877308,0.24820070593790178,0.215578083941568,-0.0584442061153998,-0.1713500918759723,1.0,-0.03390681362194015,0.23007298564176726,-0.04221670780517892,0.19666143683092463,0.017066082024935078,0.04685587662071484,0.15970424383775428,0.10410571779369689,0.09382699011623408,0.06736043187071447,0.07645349520366565
9,1.9997049852446986,4.500095255838627,0.19331604724863152,-0.71373209350242,-0.06244569363081393,0.0657911038874767,0.21226615311732772,-0.11291430636782891,1.0,-0.15099045362674435,-0.06528908477793567,-0.11740854378316604,0.17217370502420512,0.04386434593388356,0.0790079829652386,0.21331029359731127,0.10780262214375218,0.051243587400673016,0.030591781748991645,0.06197145383670527
